Artist,Song,Mood
Radiohead,Paranoid Android,neg
Jon & Vangelis,I Hear You Now,pos
Katatonia,Day,neg
OutKast,Call Of Da Wild,neg
Robin Thicke,Would That Make U Love Me,pos
Iggy Pop,Main Street Eyes,neg
India.Arie,Video,pos
Incubus,Aqueous Transmission,pos
Enya,Orinoco Flow,pos
Radiohead,Like Spinning Plates (Live),neg
Adam Green,Jessica,pos
Yanni,Nostalgia,pos
Marvin Gaye,Sexual Healing,pos
Broken Social Scene,Stars and Sons,pos
Turin Brakes,Future Boy,pos
Cansei de Ser Sexy,Off the Hook,pos
Fotos,Katharina,neg
Eastmountainsouth,Hard Times,neg
Cat Stevens,Rubylove,pos
Atomship,Whitfield,neg
Tom Waits,No One Knows I'm Gone,neg
Zapp & Roger,Computer Love,pos
Antimatter,Leaving Eden,neg
The Chameleons,Soul in Isolation,neg
The Magic Numbers,Love's A Game,pos
Maxwell,Was My Girl,pos
Placebo,Days Before You Came,neg
Slayer,Here Comes the Pain,neg
Mogwai,Boring Machines Disturbs Sleep,neg
Hagalaz' Runedance,Serenade of The Last Wolf,neg
Janet Jackson,Doesn't Really Matter,pos
Moby,Beautiful,pos
Otep,Buried Alive,neg
Anberlin,Time & Confusion,pos
Hooverphonic,The Magnificent Tree,pos
Billy Paul,Me And Mrs. Jones,pos
Lucinda Williams,Broken Butterflies,neg
My Dying Bride,Your River,neg
Deep Forest,Deep Weather,pos
Rooney,I Should've Been After You,pos
SR-71,What A Mess,neg
They Might Be Giants,Particle Man,pos
The Chemical Brothers,Close Your Eyes,pos
"Hawkins, Screamin' Jay",I Put a Spell on You,neg
Chubby Checker,Limbo Rock,pos
Violent Femmes,Black Girls,pos
30 Seconds To Mars,Night of the Hunter (Static Revenger Remix),neg
Editors,Camera,neg
Red House Painters,Down Colorful Hill,neg
The New Pornographers,All For Swinging You Around,pos
Ministry,Revenge,neg
The American Analog Set,Born On The Cusp,pos
Melanie Fiona,Give It To Me Right,pos
Leonard Cohen,Lady Midnight,neg
Crowded House,Better Be Home Soon,neg
DeBarge,Rhythm Of The Night,pos
Robbie Williams,If It's Hurting You,neg
The New Pornographers,Centre for Holy Wars,pos
Justin Nozuka,Supposed To Grow Old,pos
Jay-Jay Johanson,Time Will Show Me,neg
Tilly and the Wall,Let It Rain,pos
Scott Weiland,The Date ( LP Version ),neg
Ritchie Valens,La Bamba,pos
L7,Shitlist,neg
Smolik,Enjoy The Sound,pos
Paul Anka,Everybody Hurts,pos
Robin Thicke,When I Get You Alone,pos
Marvin Gaye,What's Happening Brother,pos
Megadeth,Use the Man,neg
Guns N' Roses,Estranged,neg
George Strait,Four Down and Twelve Across,neg
The Cure,One Hundred Years,neg
Metro Station,Shake It,pos
Blackmore's Night,Waiting Just For You,pos
The Strokes,Is This It,pos
Vonda Shepard,Searchin' My Soul,pos
Athlete,I Love,pos
City High,What Would You Do?,neg
Pursuit Of Happiness,Down On Him,neg
Gym Class Heroes,New Friend Request (Amended Version),neg
Lucinda Williams,Greenville,neg
Static-X,Night Terrors (Album Version),neg
Nightwish,Angels Fall First,neg
"""Weird Al"" Yankovic",Ode to a Superhero,pos
My Bloody Valentine,No More Sorry,neg
Emery,Fractions,neg
Beach Boys,God Only Knows,neg
Duke Ellington,Mood Indigo,pos
DJ Jazzy Jeff & the Fresh Prince,Girls Ain't Nothing But Trouble,neg
Kings of Leon,Use Somebody,neg
Smash Mouth,All Star,pos
Norman Connors,You Are My Starship,pos
Amy Winehouse,Rehab,pos
Marillion,The Invisible Man,neg
AFI,Prelude 12/21,neg
King Harvest,Dancing In The Moonlight,pos
Ambrosia,Biggest Part of Me,pos
Shawn Colvin,Sunny Came Home,neg
Tom Petty,A Higher Place (Album Version),neg
My Dying Bride,"The Blood, the Wine, the Roses",neg
Ryan Star,Losing My Religion,neg
The Brian Setzer Orchestra,Jump Jive An' Wail,pos
Janet Jackson,All For You,pos
Maroon 5,Sunday Morning,pos
Mesh,You Didn't Want Me,neg
Kris Kross,Jump,pos
The Zombies,Friends of Mine,pos
PJ Harvey,Legs,neg
Maxwell,Sumthin' Sumthin',pos
Lou Bega,Mambo No. 5 (A Little Bit Of...),pos
Trisha Yearwood,A Lover Is Forever,neg
Flowing Tears,The One I Drowned,neg
Tom Waits,Misery Is the River of the World,neg
Diary of Dreams,To Conquer the Angel's Laugh,neg
Queen,It's Late,neg
Sade,I Couldn't Love You More,pos
Florence + The Machine,Dog Days Are Over,pos
Melanie C,You'll Get Yours,neg
Dope,Now Or Never,neg
Chaotica,Lobotomy,neg
Bossa Nostra,Jackie,pos
Anja Garbarek,My Fellow Riders,pos
Mitchel Musso,Hey,pos
Bad Religion,Doing Time (Album Version),neg
Ivy,Best Thing,neg
Chris Garneau,Saturday,neg
Katatonia,The Longest Year,neg
Brazilian Girls,Ships In The Night,pos
Au Revoir Simone,Sad Song,neg
Colbie Caillat,Dreams Collide,pos
Tenacious D,Cock Pushups,pos
Hilary Duff,Why Not,pos
Billie Holiday,Lady Sings The Blues,neg
Katatonia,Brave,neg
The Concretes,On The Radio,pos
Steve Perry,Foolish Heart,pos
Erykah Badu,Honey,pos
Marianne Faithfull,Sad Lisa,neg
David Bowie,Suffragette City,pos
Rage Against the Machine,Voice of the Voiceless,neg
Pedro the Lion,The Poison,neg
CÃ©line Dion,A New Day Has Come,pos
Toy-Box,Tarzan & Jane,pos
Pain of Salvation,Black Hills,neg
The Kills,The Last Goodbye,neg
Chairlift,Bruises,pos
Godsmack,Whatever,neg
Katie Melua,Faraway Voice,pos
Megadeth,Moto Psycho,neg
Christina Aguilera,When You Put Your Hands on Me,pos
The Honeydrips,(Lack of) Love Will Tear Us Apart,pos
Lifer,Breathless,neg
My Dying Bride,The Cry of Mankind,neg
Adam Lambert,Broken Open,neg
Om,At Giza,neg
Nine Inch Nails,Head Like A Hole,neg
Norah Jones,Feelin' The Same Way,pos
Edyta GÃ³rniak,The Day I Get Over You,pos
Jenny Lewis,Godspeed,neg
Lily Allen,Alfie,pos
Megadeth,Foreclosure of a Dream,neg
Slave,Watching You,pos
Tristania,Destination Departure,neg
Joss Stone,Right To Be Wrong,pos
Violent Femmes,Gone Daddy Gone,pos
RÃ¶yksopp,Poor Leno (Jakatta radio mix),pos
Goldfrapp,Satin Chic,pos
Martina Topley-Bird,I Still Feel,pos
Peter Gabriel,I Grieve,neg
D12,My Band,pos
James Morrison,You Give Me Something,pos
Lisa Stansfield,All Around The World,pos
Beck,QuÃ© Onda Guero,pos
Toby Keith,As Good As I Once Was,pos
Robbie Nevil,C'est La Vie,pos
Covenant,Like Tears In Rain,neg
Valencia,The Space Between,pos
Nerf Herder,Welcome To My World,pos
The Cure,Like Cockatoos,neg
Stevie Wonder,Living For The City,pos
ERA,Cathar Rhythm,pos
Calvin Harris,Yeah Yeah Yeah La La La,pos
Gorgoroth,Revelation Of Doom,neg
Ricky Martin,She Bangs,pos
Whitney Houston,You Give Good Love,pos
Devendra Banhart,I Feel Just Like A Child,pos
John Mayall,California,pos
Curtis Mayfield,Future Shock,neg
Tristania,Deadlands,neg
Eyehategod,Left To Starve,neg
"""Weird Al"" Yankovic",Close But No Cigar,pos
Nelly,E.I.,pos
The New Pornographers,The Bones of an Idol,pos
Mastodon,Seabeast,neg
The Dear Hunter,Smiling Swine,pos
Jefferson Airplane,Somebody To Love,pos
Enigma,The Child in Us,pos
"Waller, Fats",Joint Is Jumpin',neg
Mariah Carey,Mine Again,neg
Corinne Bailey Rae,Paris Nights/New York Mornings,pos
Linda Ronstadt,I Go to Pieces,neg
"Lovett, Lyle",God Will,neg
Big Punisher,Still Not a Player,pos
Blonde Redhead,Girl Boy,pos
Stabbing Westward,Sometimes It Hurts,neg
Delta Goodrem,A Year Ago Today,pos
Soulsavers,Through My Sails,neg
Weezer,Hold Me,neg
Bill Withers,Lovely Day,pos
Slayer,Can't Stand You,neg
Scar Symmetry,Abstracted,neg
The Pussycat Dolls,Stickwitu,pos
The-Dream,Right Side Of My Brain,neg
The Jayhawks,Blue,neg
Great Lake Swimmers,Changing Colours,neg
Katy Perry,Hot N Cold,pos
Art Brut,Rusted Guns Of Milan,pos
Au Revoir Simone,I Couldn't Sleep,pos
Toni Basil,Mickey,pos
Syd Barrett,Here I Go,pos
Tony Bennett,The Way You Look Tonight,pos
Scissor Sisters,Filthy/Gorgeous,pos
Moby,Natural Blues,neg
Do Make Say Think,In Mind,pos
India.Arie,The Truth,pos
God Dethroned,The Grand Grimoire,neg
My Dying Bride,L'amour Detruit,neg
Wilco,Via Chicago,neg
JoJo,Breezy,pos
Kosheen,Your Life,pos
The Cure,The Big Hand,neg
The Cure,The Promise,neg
Stephen Lynch,Superhero,pos
Angus & Julia Stone,Mango Tree,pos
Alicia Keys,Try Sleeping With A Broken Heart,neg
The Clientele,I Had to Say This,pos
Moxy FrÃ¼vous,Fell in Love,pos
The View,Same Jeans,pos
Lucky Twice,Lucky,pos
Husky Rescue,Diamonds in the Sky,pos
Queens Of The Stone Age,I Never Came,neg
Black Eyed Peas,Pump It,pos
Relient K,Come Right Out And Say It,pos
Thievery Corporation,Lebanese Blonde,pos
Ziggy Marley,Melancholy Mood,pos
Black Sabbath,Sick and Tired,neg
Lovex,Time And Time Again,neg
Antimatter,Dream,neg
The Beach Boys,Surfer Girl,pos
The Pineapple Thief,Snowdrops,neg
Cradle of Filth,Hallowed Be Thy Name,neg
Rosanne Cash,House on the Lake,neg
Franz Ferdinand,No You Girls,pos
"Phair, Liz",Fuck and Run,neg
Okkervil River,Love to a Monster,neg
Morningwood,Ride The Lights,pos
OK Go,Invincible,pos
Oceansize,Only Twin,neg
L.A. Guns,The Ballad Of Jayne,neg
Sting,If I Ever Lose My Faith In You,pos
Porcupine Tree,Waiting,neg
Gwen Stefani,Hollaback Girl,pos
John Martyn,Go Down Easy,pos
Kanye West,Gold Digger (feat. Jamie Foxx),pos
Goldfrapp,Time Out From The World,pos
Black Sabbath,TV Crimes,neg
Public Enemy,Welcome to the Terrordome,neg
Horse Feathers,Finch on Saturday,pos
Tenacious D,The Divide,pos
D'Angelo,When We Get By,pos
Blur,Resigned,neg
The Doors,Celebration of the Lizard,neg
Skinny Puppy,Love In Vein,neg
Radiohead,There There,neg
Morningwood,New York Girls,pos
Coldplay,Strawberry Swing,pos
Final Fantasy,Furniture,pos
Justin Timberlake,Take It From Here,pos
Desmond Dekker & The Aces,It Mek,pos
PJ Harvey,This Mess We're In,neg
Nightwish,Dead Boy's Poem,neg
Korn,Ever Be,neg
Soundgarden,Jesus Christ Pose,neg
Stereophonics,I'm Alright (You Gotta Go There To Come Back),neg
The Arrogant Worms,Jesus' Brother Bob,pos
Katie Melua,Mary Pickford,pos
The Cure,The Figurehead,neg
Evanescence,Everybody's Fool,neg
Ambulance LTD,Michigan,pos
Harry Belafonte,Banana Boat Song (Day-O),pos
Flight of the Conchords,A Kiss Is Not A Contract,pos
Placebo,Running Up That Hill,neg
Mindy Smith,Falling,pos
Patti Smith,We Three,neg
Showaddywaddy,I Wonder Why,pos
Miss Kittin & The Hacker,Frank Sinatra,pos
Alice in Chains,Don't Follow,neg
Madness,One Step Beyond,pos
Amos Lee,Bottom Of the Barrel,pos
Hello Saferide,My Best Friend,pos
"John, Elton",Daniel,neg
The Rolling Stones,Turd On The Run,pos
Patrick Wolf,Bluebells,neg
Deine Lakaien,Love Me to the End,neg
Ambulance LTD,Swim,pos
Chimaira,The Flame,neg
Panic! At the Disco,Nine In The Afternoon,pos
Melody Club,Electric,pos
Eric Clapton,River of Tears,neg
This Providence,My Beautiful Rescue,pos
Antimatter,Mr White,neg
Filter,White Like That,neg
Tom Waits,Looks Like I'm up Shit Creek Again,neg
Megadeth,The Killing Road,neg
The Antlers,Kettering,neg
Aqua,Cartoon Heroes,pos
The Killers,Bones,pos
Travis,Follow The Light,pos
Moonspell,Awake,neg
Yeah Yeah Yeahs,Gold Lion,pos
Veruca Salt,Loneliness Is Worse,neg
Erykah Badu,4 Leaf Clover,pos
Celtic Woman,The Wexford Carol,pos
Marvin Gaye,I Won't Cry Anymore,neg
Nickel Creek,Eveline,neg
The Offspring,Feelings,neg
Joss Stone,Killing Time,pos
Taking Back Sunday,Catholic Knees (Album Version),neg
Christina Aguilera,I Turn to You,pos
Rasputina,The Donner Party,pos
Stephen Lynch,Craig,pos
Bruce Springsteen,The Ghost of Tom Joad,neg
Jamiroquai,High Times,pos
Noir DÃ©sir,7 Minutes,neg
Sheryl Crow,Steve McQueen,pos
The Brand New Heavies,Dream On Dreamer,pos
"Carmichael, Hoagy",Stardust,neg
IAMX,This Will Make You Love Again,neg
Slayer,Piece by Piece,neg
Harold Melvin & The Blue Notes,Wake Up Everybody,pos
Arctic Monkeys,A Certain Romance,pos
Belle and Sebastian,Your Cover's Blown,pos
PJ Harvey,Oh My Lover,neg
The Fabulous Thunderbirds,Why Get Up,neg
IVY,I Think Of You,pos
The Moody Blues,Melancholy Man,neg
Jennifer Lopez,Talk About Us,neg
Cranes,Bewildered,neg
Zeromancer,Houses of Cards,neg
iLiKETRAiNS,No military parade,neg
Finley Quaye,Sunday Shining,pos
Scanners,Lowlife,neg
Alicia Keys,A Woman's Worth,pos
Thin Lizzy,Boys Are Back in Town,neg
Every Time I Die,Your Touch Versus Death,neg
Razorlight,Up All Night,pos
Mindy McCready,Scream,neg
Amos Lee,Soul Suckers,pos
Jamie Lidell,Another Day,pos
Queensryche,I Will Remember,neg
Ben Lee,Catch My Disease,pos
Trace Adkins,I Wanna Feel Something,neg
"Cerf, Mitiska & Jaren",Light The Skies (Retrobyte's Classic Electrobounce Mix),pos
Theatre of Tragedy,Lorelei,neg
Architecture in Helsinki,The Cemetery,pos
Tim Buckley,No Man Can Find The War,neg
Diana Krall,Just The Way You Are,pos
Chic,Savoir Faire,pos
Willie Bobo,Spanish Grease,neg
Anthrax,C11 H17 N2 O2 S Na,neg
Hole,Gutless,neg
PJ Harvey,Snake,neg
K's Choice,20.000 Seconds,neg
Mike Doughty,I Hear the Bells,pos
Faces,Sweet Lady Mary,neg
Little Joy,Keep Me in Mind,pos
The Fray,Absolute,neg
"Waters, Muddy",I Just Want to Make Love to You,neg
Lovin' Spoonful,Darling Be Home Soon,neg
Buddy Holly,Brown Eyed Handsome Man,pos
Nina Simone,My Baby Just Cares for Me,pos
Rage Against the Machine,Revolver,neg
Dave Matthews Band,Satellite,pos
The Jackson 5,The Love You Save,pos
"Baez, Joan",Diamonds & Rust,neg
Elvis Presley,In The Ghetto,neg
Hooverphonic,Pink Fluffy Dinosaurs,pos
Ashlee Simpson,Undiscovered,pos
Dave Hollister,I'm Wrong,neg
The Beatles,Octopus's Garden,pos
Billie Holiday,Trav'lin' All Alone,neg
Johnny Cash,One Piece At A Time,pos
Syd Barrett,Rats,neg
Jill Scott,Crown Royal,pos
Goldfrapp,Strict Machine (single mix),pos
The Eames Era,Could Be Anything,pos
Nickel Creek,When In Rome,neg
Merle Haggard,Leonard,neg
Lionel Richie,All Night Long,pos
Rilo Kiley,My Slumbering Heart,pos
Metallica,Battery,neg
The Brand New Heavies,You Are The Universe,pos
Radiohead,Fitter Happier,neg
Dishwalla,Every Little Thing,neg
De-Phazz,The Mambo Craze,pos
U2,Vertigo,pos
Portishead,Over,neg
Rage Against the Machine,Mic Check,neg
Paradise Lost,Gothic,neg
The Bees,I Love You,pos
BjÃ¶rk,It's Oh So Quiet,pos
PJ Harvey,Silence,neg
"Ely, Joe",Fingernails,neg
Black Eyed Peas,I Gotta Feeling,pos
Sara Bareilles,Love On The Rocks,pos
Donavon Frankenreiter,Day Dreamer,pos
Air,Cherry Blossom Girl (Radio Mix),pos
Chicago,Saturday in the Park,pos
Norah Jones,Those Sweet Words,pos
Hawk Nelson,Everything You Ever Wanted,neg
Lit,Miserable,neg
Belle and Sebastian,You Don't Send Me,pos
Alice in Chains,Head Creeps,neg
Sweet,The Ballroom Blitz,pos
Nine Inch Nails,Gave Up,neg
The Killers,Where The White Boys Dance,pos
Interpol,Specialist,neg
David Sylvian,Orpheus,neg
Neil Young,Running Dry (Requiem For the Rockets),neg
Melody Gardot,Quiet Fire,pos
Taking Dawn,Black Diamond,neg
Syd Barrett,Love You,pos
Jessica Simpson,With You,pos
Madonna,Holiday,pos
Flunk,I Love Music,pos
Hole,Letter To God,neg
Feist,Gatekeeper,pos
Shania Twain,You're Still The One,pos
Deep Purple,Breakfast in Bed,neg
Anthrax,This Is Not an Exit,neg
Alice In Chains,Lesson Learned,neg
India.Arie,Beautiful Surprise,pos
Jewel Akens,The Birds And The Bees,pos
Hooverphonic,Mad About You,pos
"Sinatra, Frank",It Was a Very Good Year,neg
Fatboy Slim,Because We Can,pos
Stereophonics,Bright Red Star,neg
Swallow The Sun,The Justice of Suffering,neg
Conway Twitty,Guess My Eyes Were Bigger Than My Heart,neg
"Harris, Emmylou",Boulder to Birmingham,neg
Hayley Westenra,Wuthering Heights,pos
The Kinks,A Well Respected Man,pos
Marcia Griffiths,Feel Like Jumping,pos
Spice Girls,2 Become 1,pos
R. Kelly,Bump N' Grind,pos
Counterstrike,Draco,neg
Korn,Got The Life,neg
Norah Jones,Rosie's Lullaby (Live From Rehearsals.com),pos
The Chips,Rubber Biscuit,pos
The Modern Lovers,Hospital,neg
The Rolling Stones,Jumpin' Jack Flash,pos
Black Eyed Peas,Where Is The Love?,pos
Mase,Wanna Hurt Mase? (Album Version),neg
Bone Thugs-N-Harmony,2 Glocks,neg
Ben Kweller,I Need You Back,pos
Jamiroquai,Feels Just Like It Should,pos
Erykah Badu,Tyrone,pos
Broken Social Scene,Market Fresh,pos
Low,Violence,neg
Conway Twitty,After All the Good Is Gone,neg
Foo Fighters,X-Static,neg
Lily Allen,Everything's Just Wonderful,pos
Ice Cube,Endangered Species (Tales From the Darkside),neg
Robyn,Dancing On My Own,neg
Lisa Ekdahl,Sunny Weather,pos
Nerf Herder,5000 Ways To Die,pos
Madeleine Peyroux,Once In A While,pos
Cat Stevens,How Many Times,neg
Nirvana,Scentless Apprentice,neg
Strapping Young Lad,Rape Song,neg
Lykke Li,This Trumpet in My Head,neg
Sick Of It All,Consume (LP Version),neg
Lard,The Power of Lard,neg
The Cure,Fear Of Ghosts,neg
Leonard Cohen,Dress Rehearsal Rag,neg
Escape The Fate,My Apocalypse,neg
Gabe Dixon Band,All Will Be Well,pos
My Dying Bride,The Dreadful Hours,neg
Diary of Dreams,AlLone,neg
"Case, Neko & Her Boyfriends",Bowling Green,neg
De La Soul,Eye Know,neg
The Beatles,She's Leaving Home,neg
PJ Harvey,Shame,neg
Rage Against the Machine,Settle For Nothing,neg
Nick Cave and the Bad Seeds,Where Do We Go Now But Nowhere,neg
Matt Costa,Unfamiliar Faces,pos
Nick Cave & The Bad Seeds,The Hammer Song (2010 Digital Remaster),neg
Badly Drawn Boy,Bedside Story,pos
Tim Buckley,Once I Was,neg
Bad Brains,Destroy Babylon,neg
Hot Chip,In The Privacy Of Our Love,pos
The Kooks,Sofa Song,pos
Gang Starr,Say Your Prayers,neg
Kelly Clarkson,Cry,neg
Tommy James & The Shondells,Crimson And Clover,pos
Soft Cell,Youth,neg
The Raveonettes,That Great Love Sound,pos
Ice Cube,Why We Thugs (edited version),neg
Goldfrapp,Road To Somewhere,pos
Alice in Chains,Shame In You,neg
New Model Army,"No Mirror, No Shadow",neg
2Pac,Me Against the World,neg
The Flying Burrito Brothers,Do You Know How It Feels,neg
Kanye West,Coldest Winter,neg
Type O Negative,Some Stupid Tomorrow,neg
Aaliyah,Age Ain't Nothing But A Number,pos
Daft Punk,Technologic,pos
Jay Sean,Down,pos
Incubus,Diamonds and Coal,pos
Natalie Merchant,San Andreas Fault (Remastered LP Version),neg
Little Joy,How To Hang A Warhol,pos
Susie Suh,Shell,pos
Iron & Wine,Pagan Angel and a Borrowed Car,pos
Corinne Bailey Rae,Like A Star,pos
Adema,Everyone,neg
Faith No More,Take This Bottle,neg
Taylor Swift,Crazier,pos
Weezer,Pork And Beans,pos
Billie Holiday,Without Your Love,neg
Spoon,The Way We Get By,pos
Cherish,Stop Calling Me,pos
Bodeans,Closer to Free,neg
Michael BublÃ©,Put Your Head on My Shoulder,pos
Hole,Northern Star,neg
Live,The Distance,pos
My Dying Bride,A Sea to Suffer In,neg
Alison Moyet,That Ole Devil Called Love,pos
Delerium,Fallen Icons,pos
Mayday Parade,The Last Something That Meant Anything,neg
Sophie Ellis-Bextor,Me And My Imagination,pos
Morrissey,Come Back To Camden,neg
Blind Melon,Three Is A Magic Number,pos
Anthony Rother,Back Home,pos
Melody Gardot,Goodnite,pos
Keith Anderson,Somebody Needs A Hug,pos
Carpenters,Goodbye To Love,neg
Dark Sanctuary,FunÃ©railles,neg
Pet Shop Boys,Love Is A Catastrophe,neg
Eisley,Ambulance,neg
Combichrist,The Corps Under My Bed,neg
Sticky Fingaz,Oh My God,neg
RÃ³isÃ­n Murphy,Parallel Lives,pos
The Decemberists,Song for Myla Goldberg,pos
Children of Bodom,Towards Dead End,neg
The Shangri-Las,Give Him A Great Big Kiss,pos
Nick Cave and the Bad Seeds,I Let Love In,neg
L7,This Ain't Pleasure,neg
Blue Rodeo,5 Days in May,pos
Basement Jaxx,Right Here's The Spot,pos
Opeth,Bleak,neg
The Smiths,Last Night I Dreamt That Somebody Loved Me,neg
Melody Club,Fever Fever,pos
Bonnie Raitt,The Bed I Made,neg
Frank the Baptist,Letters To Earth,neg
Kate Rusby,Underneath The Stars,pos
Rosanne Cash,Blue Moon With Heartache,neg
Steely Dan,Bodhisattva,pos
ATB,Ecstasy,pos
Rogue Wave,Chicago x 12,pos
Gin Blossoms,Follow You Down,pos
Ice Cube,The Nigga Ya Love to Hate,neg
Brazilian Girls,Lazy Lover,pos
The Good Life,Heartbroke,neg
Katie Melua,Lilac Wine,pos
Moya Brennan,No One Talks,pos
Zee Avi,Kantoi,pos
OK Go,1000 Miles Per Hour,pos
"Smith, Elliott",Miss Misery,neg
Celtic Woman,Someday,neg
Alan Jackson,Laid Back 'n Low Key (Cay),pos
George Jones,Ol' Frank,neg
of Montreal,Forecast Fascist Future,pos
Tammy Wynette,Southern California,neg
Mark Lanegan,Kingdoms Of Rain,neg
VAST,Dedicate (A Place For Me),neg
Tom Waits,The Fall of Troy,neg
Leverage,Wolf and the Moon,neg
Pulp,Common People,pos
Creedence Clearwater Revival,Proud Mary,pos
The Playmates,Beep Beep,pos
Rosemary Clooney,You'll Never Know,neg
The Young Rascals,Groovin',pos
Colbie Caillat,Fallin' For You,pos
Patrick Wolf,The Magic Position,pos
Phoenix,Girlfriend,pos
Marilyn Manson,Devour,neg
"Mitchell, Joni",Amelia,neg
Birthday Party,Dead Joe,neg
Steely Dan,Deacon Blues,pos
Skeeter Davis,He Says The Same Things To Me,neg
System of a Down,Streamline,neg
New Radicals,I Don't Wanna Die Anymore,neg
Static-X,No Submission,neg
Eels,My Beloved Monster,pos
Samuel E. Wright,Under The Sea,pos
Anti-Flag,On Independence Day,neg
Radiohead,Exit Music (For a Film),neg
Gotan Project,Vuelvo Al Sur,pos
Thomas Dolby,One Of Our Submarines,neg
Amil,Anyday,neg
Eels,Restraining Order Blues,neg
Black Sabbath,Lonely Is The Word,neg
Stevie Wonder,Ribbon In The Sky,pos
Chris Isaak,Baby Did A Bad Bad Thing,pos
The Smiths,You've Got Everything Now,neg
PJ Harvey,The Darker Days Of Me & Him,neg
Darwin Deez,Radar Detector,pos
Texas,In Our Lifetime,pos
Isis,Holy Tears,neg
Fleetwood Mac,Landslide,neg
10cc,Life Is A Minestrone,pos
Cradle of Filth,Filthy Little Secret,neg
Jesse Malin,Going Out West,neg
The Rumble Strips,Girls And Boys In Love,pos
Quiet Riot,Bang Your Head (Metal Health),neg
The Pointer Sisters,I'm So Excited,pos
Basia,New Day For You,pos
Megadeth,Architecture of Aggression,neg
Korn,Mr. Rogers,neg
Slayer,Consfearacy,neg
Manic Street Preachers,4st 7lb,neg
Dixie Chicks,Easy Silence,pos
Bauhaus,Exquisite Corpse,neg
Louis Prima,Pennies From Heaven,pos
Antsy Pants,Tree Hugger,pos
Nickel Creek,Reasons Why,pos
Vanessa Carlton,The Wreckage,neg
Crispian St. Peters,You Were On My Mind,pos
Kate Walsh,French Song,pos
Radiohead,We Suck Young Blood,neg
Christina Aguilera,Candyman,pos
Travis,Afterglow,pos
PJ Harvey,Send His Love To Me,neg
Opeth,Moonlapse Vertigo,neg
The Three Degrees,When Will I See You Again,pos
Deerhoof,New Sneakers,neg
India.Arie,There's Hope,pos
Children of Bodom,The Nail,neg
S Club 7,S Club Party,pos
The Mars Volta,Since We've Been Wrong,neg
Foetus,Time Marches On,neg
Morcheeba,The Sea,pos
Harry Nilsson,Coconut,pos
Spinal Tap,Big Bottom,pos
Jamiroquai,Seven Days in Sunny June,pos
Fiona Apple,Limp,neg
Radney Foster,Again,neg
Rufus Wainwright,One Man Guy,pos
Rare Earth,Get Ready,pos
Sam The Sham & The Pharaohs,Wooly Bully,pos
Arctic Monkeys,The View From the Afternoon,pos
Belle and Sebastian,Women's Realm,pos
John Mayer,Clarity,pos
No Doubt,Spiderwebs,pos
Whitney Houston,I'm Your Baby Tonight,pos
Angelzoom,Fairyland,neg
Dinah Washington,Ain't Misbehavin',pos
Joe Satriani,I Just Wanna Rock,pos
Amorphis,Crimson Wave,neg
Gorgoroth,Incipit satan,neg
The Beatles,She Loves You,pos
Dark Tranquillity,Insanity's Crescendo,neg
Judas Priest,Bullet Train,neg
HIM,Pretending,pos
Ian Dury & The Blockheads,"Reasons to Be Cheerful, Pt. 3",neg
Jon McLaughlin,Human,pos
Alice in Chains,Brush Away,neg
Liz Phair,Table For One,neg
We Are The Fallen,Don't Leave Me Behind,neg
John Legend,Maxine,pos
Jill Tracy,Pulling Your Insides Out,neg
Placebo,Daddy Cool,pos
Linkin Park,Runaway,neg
The Sundays,My Finest Hour,pos
Blur,Girls & Boys,pos
Snow Patrol,Spitting Games,pos
The Rocket Summer,"So, In This Hour...",pos
Sheryl Crow,My Favorite Mistake,neg
X-Ray Spex,I Am A Poseur,pos
Jaguar Wright,Country Song,pos
Justin Bieber,One Time,pos
Espers,Meadow,pos
Nick Cave and the Bad Seeds,Song of Joy,neg
Kashmir,The Aftermath,pos
Room Eleven,One Of These Days,pos
Bon Jovi,Hearts Breaking Even,pos
Soulfly,Back to the Primitive,neg
Katharine McPhee,Love Story,pos
DMX,What's My Name?,neg
Ben Folds,Fired,pos
Tenacious D,Beelzeboss (The Final Showdown),pos
Jennifer Lopez,We Gotta Talk,neg
The Perishers,A Reminder,neg
"Keys, Alicia",Fallin',neg
Jennifer Hudson,Spotlight,pos
Bruce Springsteen,Lonesome Day,neg
"""Weird Al"" Yankovic",Trigger Happy,pos
Fishbone,Ma And Pa,pos
Robin Thicke,Loverman,pos
Neko Case,The Tigers Have Spoken,neg
The Mountain Goats,No Children,neg
D'Angelo,Chicken Grease,pos
Sheryl Crow,All I Wanna Do,pos
Ordo Rosarius Equilibrio,Who Stole The Sun From Its Place In My Heart?,neg
honeyhoney,Little Toy Gun,pos
French Kicks,Close To Modern,pos
Kelis,Milkshake,pos
Starship,Nothing's Gonna Stop Us Now,pos
The Teenagers,Homecoming,pos
New Order,Blue Monday,neg
Aretha Franklin,Going Down Slow,neg
Bat for Lashes,What's a Girl to Do?,neg
Owl City,The Saltwater Room,pos
Toy-Box,The Sailor Song,pos
Kool & The Gang,Too Hot,pos
Katrina and the Waves,Walking On Sunshine,pos
Tyrese,Sweet Lady,pos
Rise Against,Everchanging,neg
Karen Matheson,Evangeline,pos
The Fiery Furnaces,Nevers,pos
Sham 69,If The Kids Are United,neg
The Tiger Lillies,Start a Fire,pos
Vienna Teng,Harbor,pos
REO Speedwagon,Keep On Loving You,pos
